what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892529259
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487892529704
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487892529773
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487892537093
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892556934
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892565210
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892608498
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892630756
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892635042
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892636582
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892637362
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892640645
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892640682
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892644879
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.cut",1487892648388
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1487892651196
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487892658499
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487892658793
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487892659226
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.delete",1487892661120
started,bundle,org.eclipse.mylyn.java.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.java.ui",1487892670023
started,bundle,org.eclipse.cdt.debug.core,7.1.0.201202111925,"org.eclipse.cdt.debug.core",1487892695291
started,bundle,org.eclipse.cdt.debug.ui,7.1.2.201202111925,"org.eclipse.cdt.debug.ui",1487892695592
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892702597
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892703769
executed,command,org.eclipse.jdt.debug.ui,3.6.1.v20111006_r372,"org.eclipse.jdt.debug.ui.localJavaShortcut.run",1487892704614
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892705803
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892708463
started,bundle,org.eclipse.m2e.launching,1.0.200.20111228-1245,"org.eclipse.m2e.launching",1487892719902
opened,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1487892720719
started,bundle,org.eclipse.cdt.dsf,2.2.0.201202111925,"org.eclipse.cdt.dsf",1487892722293
started,bundle,org.eclipse.cdt.dsf.gdb,4.0.2.201202111925,"org.eclipse.cdt.dsf.gdb",1487892722352
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.2.1.201202111925,"org.eclipse.cdt.dsf.gdb.ui",1487892722373
started,bundle,org.eclipse.cdt.debug.mi.ui,6.1.1.201202111925,"org.eclipse.cdt.debug.mi.ui",1487892722719
started,bundle,org.eclipse.cdt.debug.mi.core,7.1.1.201202111925,"org.eclipse.cdt.debug.mi.core",1487892722951
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1487892727126
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892738532
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892805668
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1487892805687
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1487892805687
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892808582
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892955837
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487892965623
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893156755
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1487893156783
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.export",1487893156783
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893159548
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893160151
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893161116
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893194460
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893212100
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487893219159
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487893219233
executed,command,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring.commands.deleteResources",1487893219251
