what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896024948
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.rename",1487896024960
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487896026631
executed,command,,,"AUTOGEN:::org.eclipse.jdt.internal.ui.CompilationUnitEditor.ruler.actions/org.eclipse.jdt.internal.ui.javaeditor.JavaSelectRulerAction",1487896027224
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896036456
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041199
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041712
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041756
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041806
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041837
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041871
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.copy",1487896041895
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896210117
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896211750
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896240361
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896305278
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896308680
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896316097
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896347646
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896357671
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896370535
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1487896372051
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896381585
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896388297
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896391393
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896488612
executed,command,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.project.properties",1487896488646
opened,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1487896492908
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1487896493016
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487896504320
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896533559
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896538861
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896541679
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896541690
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896541833
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896542384
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896553077
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896555849
no handler,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896556578
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896557862
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.text.contentAssist.proposals",1487896559585
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896577070
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896596250
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896597921
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896623924
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896626057
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896675889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896685463
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896865180
activated,view,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.views.ProgressView",1487896868500
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1487896871059
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896874881
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896876860
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896878245
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896880188
closed,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1487896893124
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.200.20111228-1245,"org.eclipse.m2e.logback.configuration",1487896916167
stopped,bundle,org.eclipse.m2e.discovery,1.0.200.20111228-1245,"org.eclipse.m2e.discovery",1487896916444
stopped,bundle,org.eclipse.m2e.refactoring,1.0.200.20111228-1245,"org.eclipse.m2e.refactoring",1487896916447
stopped,bundle,org.eclipse.m2e.editor,1.0.200.20111228-1245,"org.eclipse.m2e.editor",1487896917186
